code,name,naver_label
088340,유라클,지역화폐
294570,쿠콘,지역화폐
094480,갤럭시아머니트리,지역화폐
053580,웹케시,지역화폐
052400,코나아이,지역화폐
000810,삼성화재,손해보험
003690,코리안리,손해보험
031210,서울보증보험,손해보험
001450,현대해상,손해보험
005830,DB손해보험,손해보험
000400,롯데손해보험,손해보험
000540,흥국화재,손해보험
000370,한화손해보험,손해보험
032640,LG유플러스,통신
017670,SK텔레콤,통신
030200,KT,통신
035420,NAVER,인터넷 대표주
035720,카카오,인터넷 대표주
195990,에이비프로바이오,공작기계
010660,화천기계,공작기계
089140,넥스턴바이오,공작기계
101680,한국정밀기계,공작기계
047400,유니온머티리얼,공작기계
009160,SIMPAC,공작기계
100660,서암기계공업,공작기계
019210,와이지-원,공작기계
000850,화천기공,공작기계
025890,한국주강,공작기계
129920,대성하이텍,공작기계
003570,SNT다이내믹스,공작기계
099440,스맥,공작기계
187790,나노,맥신(MXene)
079980,휴비스,맥신(MXene)
000240,한국앤컴퍼니,맥신(MXene)
012320,경동인베스트,맥신(MXene)
015890,태경산업,맥신(MXene)
081150,티플랙스,맥신(MXene)
052460,아이크래프트,맥신(MXene)
357580,아모센스,맥신(MXene)
347000,센코,맥신(MXene)
267320,나인테크,맥신(MXene)
199800,툴젠,유전자 치료제/분석
226330,신테카바이오,유전자 치료제/분석
321550,티움바이오,유전자 치료제/분석
363250,진시스템,유전자 치료제/분석
127120,제이에스링크,유전자 치료제/분석
228760,지노믹트리,유전자 치료제/분석
394800,쓰리빌리언,유전자 치료제/분석
314130,지놈앤컴퍼니,유전자 치료제/분석
095700,제넥신,유전자 치료제/분석
225220,제놀루션,유전자 치료제/분석
092040,아미코젠,유전자 치료제/분석
046210,HLB파나진,유전자 치료제/분석
011000,진원생명과학,유전자 치료제/분석
950200,소마젠,유전자 치료제/분석
006280,녹십자,유전자 치료제/분석
373110,엑셀세라퓨틱스,유전자 치료제/분석
066700,테라젠이텍스,유전자 치료제/분석
348150,고바이오랩,유전자 치료제/분석
215600,신라젠,유전자 치료제/분석
187420,HLB제넥스,유전자 치료제/분석
308080,바이젠셀,유전자 치료제/분석
096530,씨젠,유전자 치료제/분석
456070,이엔셀,유전자 치료제/분석
137310,에스디바이오센서,유전자 치료제/분석
311690,CJ 바이오사이언스,유전자 치료제/분석
038290,마크로젠,유전자 치료제/분석
354200,엔젠바이오,유전자 치료제/분석
389030,지니너스,유전자 치료제/분석
229000,젠큐릭스,유전자 치료제/분석
064550,바이오니아,유전자 치료제/분석
084650,랩지노믹스,유전자 치료제/분석
461030,아이엠비디엑스,유전자 치료제/분석
340450,지씨지놈,유전자 치료제/분석
950130,엑세스바이오,유전자 치료제/분석
102940,코오롱생명과학,유전자 치료제/분석
084990,헬릭스미스,유전자 치료제/분석
372320,큐로셀,유전자 치료제/분석
331920,셀레믹스,유전자 치료제/분석
174900,앱클론,유전자 치료제/분석
083790,CG인바이츠,유전자 치료제/분석
092200,디아이씨,탈 플라스틱(친환경/생분해성 등)
260930,씨티케이,탈 플라스틱(친환경/생분해성 등)
138490,코오롱ENP,탈 플라스틱(친환경/생분해성 등)
340440,세림B&G,탈 플라스틱(친환경/생분해성 등)
285800,진영,탈 플라스틱(친환경/생분해성 등)
038110,에코플라스틱,탈 플라스틱(친환경/생분해성 등)
014970,삼륭물산,탈 플라스틱(친환경/생분해성 등)
037230,한국팩키지,탈 플라스틱(친환경/생분해성 등)
382150,온코크로스,의료AI
226330,신테카바이오,의료AI
208370,셀바스헬스케어,의료AI
127120,제이에스링크,의료AI
394800,쓰리빌리언,의료AI
419540,비스토스,의료AI
388870,파로스아이바이오,의료AI
041920,메디아나,의료AI
458870,씨어스테크놀로지,의료AI
376930,노을,의료AI
328130,루닛,의료AI
223250,드림씨아이에스,의료AI
376900,로킷헬스케어,의료AI
393210,토마토시스템,의료AI
099750,이지케어텍,의료AI
288980,모아데이타,의료AI
033230,인성정보,의료AI
354200,엔젠바이오,의료AI
229000,젠큐릭스,의료AI
084650,랩지노믹스,의료AI
049180,셀루메드,의료AI
315640,딥노이드,의료AI
340810,시선AI,의료AI
380550,뉴로핏,의료AI
108860,셀바스AI,의료AI
060230,제이케이시냅스,의료AI
338220,뷰노,의료AI
384470,코어라인소프트,의료AI
322510,제이엘케이,의료AI
347700,스피어,의료AI
047770,코데즈컴바인,남북경협
033340,좋은사람들,남북경협
014990,인디에프,남북경협
093240,형지엘리트,남북경협
030960,양지사,남북경협
025980,아난티,남북경협
091590,남화토건,남북경협
009270,신원,남북경협
007110,일신석재,남북경협
001550,조비,남북경협
023800,인지컨트롤스,남북경협
026040,제이에스티나,남북경협
100700,세운메디칼,남북경협
049630,재영솔루텍,남북경협
004090,한국석유,남북경협
025860,남해화학,남북경협
006280,녹십자,남북경협
002150,도화엔지니어링,남북경협
002100,경농,남북경협
037440,희림,남북경협
004000,롯데정밀화학,남북경협
017800,현대엘리베이터,남북경협
001260,남광토건,남북경협
013810,스페코,남북경협
058730,다스코,남북경협
015760,한국전력,남북경협
119850,지엔씨에너지,남북경협
000720,현대건설,남북경협
033240,자화전자,남북경협
067900,와이엔텍,폐기물처리
011370,서한,폐기물처리
009410,태영건설,폐기물처리
004150,한솔홀딩스,폐기물처리
060150,인선이엔티,폐기물처리
221800,유투바이오,코로나19(진단키트)
249420,일동제약,코로나19(진단키트)
363250,진시스템,코로나19(진단키트)
214610,롤링스톤,코로나19(진단키트)
228760,지노믹트리,코로나19(진단키트)
048530,인트론바이오,코로나19(진단키트)
206640,바디텍메드,코로나19(진단키트)
225220,제놀루션,코로나19(진단키트)
118000,메타케어,코로나19(진단키트)
950200,소마젠,코로나19(진단키트)
185750,종근당,코로나19(진단키트)
377740,바이오노트,코로나19(진단키트)
206650,유바이오로직스,코로나19(진단키트)
205470,휴마시스,코로나19(진단키트)
053980,오상자이엘,코로나19(진단키트)
187420,HLB제넥스,코로나19(진단키트)
109820,진매트릭스,코로나19(진단키트)
096530,씨젠,코로나19(진단키트)
137310,에스디바이오센서,코로나19(진단키트)
005690,파미셀,코로나19(진단키트)
311690,CJ 바이오사이언스,코로나19(진단키트)
305090,마이크로디지탈,코로나19(진단키트)
069620,대웅제약,코로나19(진단키트)
354200,엔젠바이오,코로나19(진단키트)
243070,휴온스,코로나19(진단키트)
060590,씨티씨바이오,코로나19(진단키트)
038460,바이오스마트,코로나19(진단키트)
064550,바이오니아,코로나19(진단키트)
084650,랩지노믹스,코로나19(진단키트)
039860,나노엔텍,코로나19(진단키트)
101140,인바이오젠,코로나19(진단키트)
004720,팜젠사이언스,코로나19(진단키트)
