code,name,naver_label
100790,미래에셋벤처투자,스페이스X(SpaceX)
027360,아주IB투자,스페이스X(SpaceX)
295310,에이치브이엠,스페이스X(SpaceX)
274090,켄코아에어로스페이스,스페이스X(SpaceX)
001430,세아베스틸지주,스페이스X(SpaceX)
347700,스피어,스페이스X(SpaceX)
209640,와이제이링크,스페이스X(SpaceX)
417010,나노팀,스페이스X(SpaceX)
321370,센서뷰,스페이스X(SpaceX)
373220,LG에너지솔루션,스페이스X(SpaceX)
476830,알지노믹스,유전자 치료제/분석
314130,지놈앤컴퍼니,유전자 치료제/분석
950130,엑세스바이오,유전자 치료제/분석
174900,앱클론,유전자 치료제/분석
084990,헬릭스미스,유전자 치료제/분석
066700,테라젠이텍스,유전자 치료제/분석
127120,제이에스링크,유전자 치료제/분석
394800,쓰리빌리언,유전자 치료제/분석
389030,지니너스,유전자 치료제/분석
348150,고바이오랩,유전자 치료제/분석
102940,코오롱생명과학,유전자 치료제/분석
011000,진원생명과학,유전자 치료제/분석
461030,아이엠비디엑스,유전자 치료제/분석
006280,녹십자,유전자 치료제/분석
064550,바이오니아,유전자 치료제/분석
950200,소마젠,유전자 치료제/분석
215600,신라젠,유전자 치료제/분석
187420,HLB제넥스,유전자 치료제/분석
321550,티움바이오,유전자 치료제/분석
225220,제놀루션,유전자 치료제/분석
137310,에스디바이오센서,유전자 치료제/분석
331920,셀레믹스,유전자 치료제/분석
354200,엔젠바이오,유전자 치료제/분석
092040,아미코젠,유전자 치료제/분석
096530,씨젠,유전자 치료제/분석
373110,엑셀세라퓨틱스,유전자 치료제/분석
226330,신테카바이오,유전자 치료제/분석
372320,큐로셀,유전자 치료제/분석
363250,진시스템,유전자 치료제/분석
228760,지노믹트리,유전자 치료제/분석
311690,CJ 바이오사이언스,유전자 치료제/분석
046210,HLB파나진,유전자 치료제/분석
084650,랩지노믹스,유전자 치료제/분석
095700,제넥신,유전자 치료제/분석
199800,툴젠,유전자 치료제/분석
308080,바이젠셀,유전자 치료제/분석
038290,마크로젠,유전자 치료제/분석
340450,지씨지놈,유전자 치료제/분석
083790,CG인바이츠,유전자 치료제/분석
229000,젠큐릭스,유전자 치료제/분석
456070,이엔셀,유전자 치료제/분석
476830,알지노믹스,2025 하반기 신규상장
478340,나라스페이스테크놀로지,2025 하반기 신규상장
488280,에스투더블유,2025 하반기 신규상장
000007,아크릴,2025 하반기 신규상장
484120,도우인시스,2025 하반기 신규상장
318060,그래피,2025 하반기 신규상장
468530,프로티나,2025 하반기 신규상장
061090,세나테크놀로지,2025 하반기 신규상장
217590,티엠씨,2025 하반기 신규상장
486990,노타,2025 하반기 신규상장
459550,알트,2025 하반기 신규상장
488900,비츠로넥스텍,2025 하반기 신규상장
380550,뉴로핏,2025 하반기 신규상장
000009,에임드바이오,2025 하반기 신규상장
125490,한라캐스트,2025 하반기 신규상장
388210,씨엠티엑스,2025 하반기 신규상장
261520,이지스,2025 하반기 신규상장
000091,신영스팩11호,2025 하반기 신규상장
000072,KB제33호스팩,2025 하반기 신규상장
466690,키움히어로제1호스팩,2025 하반기 신규상장
000093,미래에셋비전스팩8호,2025 하반기 신규상장
