code,name,naver_label
094480,갤럭시아머니트리,지역화폐
088340,유라클,지역화폐
053580,웹케시,지역화폐
294570,쿠콘,지역화폐
052400,코나아이,지역화폐
298380,에이비엘바이오,면역항암제
195990,에이비프로바이오,면역항암제
141080,리가켐바이오,면역항암제
358570,지아이이노베이션,면역항암제
039200,오스코텍,면역항암제
115180,큐리언트,면역항암제
338840,와이바이오로직스,면역항암제
424870,이뮨온시아,면역항암제
323990,박셀바이오,면역항암제
095700,제넥신,면역항암제
000100,유한양행,면역항암제
144510,지씨셀,면역항암제
299660,셀리드,면역항암제
174900,앱클론,면역항암제
308080,바이젠셀,면역항암제
950220,네오이뮨텍,면역항암제
084990,헬릭스미스,면역항암제
293780,압타바이오,면역항암제
083790,CG인바이츠,면역항암제
321550,티움바이오,면역항암제
170900,동아에스티,면역항암제
001540,안국약품,면역항암제
291650,압타머사이언스,면역항암제
028300,HLB,면역항암제
215600,신라젠,면역항암제
235980,메드팩토,면역항암제
378800,샤페론,면역항암제
263050,유틸렉스,면역항암제
365270,큐라클,면역항암제
052020,에스티큐브,면역항암제
085660,차바이오텍,면역항암제
224060,더코디,면역항암제
086890,이수앱지스,면역항암제
036630,세종텔레콤,마이데이터
163730,핑거,마이데이터
158430,아톤,마이데이터
372800,아이티아이즈,마이데이터
294570,쿠콘,마이데이터
089850,유비벨록스,마이데이터
214180,헥토이노베이션,마이데이터
030190,NICE평가정보,마이데이터
170790,파이오링크,마이데이터
035420,NAVER,마이데이터
150900,파수,마이데이터
163730,핑거,STO(토큰증권 발행)
094480,갤럭시아머니트리,STO(토큰증권 발행)
088340,유라클,STO(토큰증권 발행)
102370,케이옥션,STO(토큰증권 발행)
063170,서울옥션,STO(토큰증권 발행)
234340,헥토파이낸셜,STO(토큰증권 발행)
011420,갤럭시아에스엠,STO(토큰증권 발행)
199480,뱅크웨어글로벌,STO(토큰증권 발행)
064260,다날,STO(토큰증권 발행)
005940,NH투자증권,STO(토큰증권 발행)
055550,신한지주,STO(토큰증권 발행)
086790,하나금융지주,STO(토큰증권 발행)
001200,유진투자증권,STO(토큰증권 발행)
158430,아톤,STO(토큰증권 발행)
071050,한국금융지주,STO(토큰증권 발행)
105560,KB금융,STO(토큰증권 발행)
